"filename", "language", "C++", "JSON with Comments", "Batch", "Markdown", "comment", "blank", "total"
"d:\Desktop\Document\Coding\C++\ACM\0_Tmpl\Question.cpp", "C++", 45, 0, 0, 0, 3, 13, 61
"d:\Desktop\Document\Coding\C++\ACM\0_Tmpl\list.cpp", "C++", 10, 0, 0, 0, 0, 5, 15
"d:\Desktop\Document\Coding\C++\ACM\0_Tmpl\segTree.h", "C++", 91, 0, 0, 0, 4, 9, 104
"d:\Desktop\Document\Coding\C++\ACM\0_list\OneModeBanchMark\OMBM.cpp", "C++", 28, 0, 0, 0, 0, 4, 32
"d:\Desktop\Document\Coding\C++\ACM\0_list\Prime_Number_List\List.cpp", "C++", 32, 0, 0, 0, 35, 5, 72
"d:\Desktop\Document\Coding\C++\ACM\0_list\Prime_Number_List\list.md", "Markdown", 0, 0, 0, 100, 0, 1, 101
"d:\Desktop\Document\Coding\C++\ACM\0_list\sm\a.cpp", "C++", 10, 0, 0, 0, 0, 5, 15
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED153\A.cpp", "C++", 82, 0, 0, 0, 5, 13, 100
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED153\B.cpp", "C++", 107, 0, 0, 0, 5, 13, 125
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED153\C.cpp", "C++", 85, 0, 0, 0, 4, 13, 102
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED154\A.cpp", "C++", 90, 0, 0, 0, 3, 11, 104
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED154\B.cpp", "C++", 136, 0, 0, 0, 3, 11, 150
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-ED154\C.cpp", "C++", 84, 0, 0, 0, 42, 14, 140
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-HSSC\A.cpp", "C++", 54, 0, 0, 0, 3, 11, 68
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-HSSC\B.cpp", "C++", 67, 0, 0, 0, 3, 11, 81
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-HSSC\C.cpp", "C++", 71, 0, 0, 0, 3, 12, 86
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-PL\A.cpp", "C++", 66, 0, 0, 0, 3, 11, 80
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-PL\B.cpp", "C++", 52, 0, 0, 0, 3, 11, 66
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-PL\C-T.cpp", "C++", 20, 0, 0, 0, 0, 4, 24
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-PL\C.cpp", "C++", 71, 0, 0, 0, 18, 14, 103
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF-PL\D.cpp", "C++", 319, 0, 0, 0, 35, 16, 370
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF819.2\A.cpp", "C++", 65, 0, 0, 0, 3, 13, 81
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF819.2\B.cpp", "C++", 105, 0, 0, 0, 9, 18, 132
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.2\A.cpp", "C++", 41, 0, 0, 0, 1, 4, 46
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.2\B.cpp", "C++", 2, 0, 0, 0, 0, 1, 3
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.2\C.cpp", "C++", 47, 0, 0, 0, 1, 6, 54
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.3\A.cpp", "C++", 38, 0, 0, 0, 4, 7, 49
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.3\B.cpp", "C++", 38, 0, 0, 0, 4, 8, 50
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.3\C.cpp", "C++", 88, 0, 0, 0, 4, 14, 106
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.3\D.cpp", "C++", 72, 0, 0, 0, 3, 17, 92
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF890.3\list.cpp", "C++", 34, 0, 0, 0, 0, 6, 40
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF893\A.cpp", "C++", 46, 0, 0, 0, 3, 11, 60
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF893\B.cpp", "C++", 20, 0, 0, 0, 78, 5, 103
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF893\C.cpp", "C++", 58, 0, 0, 0, 6, 12, 76
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF894\A.cpp", "C++", 75, 0, 0, 0, 3, 12, 90
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF894\B.cpp", "C++", 75, 0, 0, 0, 3, 14, 92
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF894\C.cpp", "C++", 86, 0, 0, 0, 6, 13, 105
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF895.3\A.cpp", "C++", 44, 0, 0, 0, 3, 11, 58
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF895.3\B.cpp", "C++", 50, 0, 0, 0, 3, 11, 64
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF895.3\C.cpp", "C++", 59, 0, 0, 0, 5, 12, 76
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF895.3\D.cpp", "C++", 54, 0, 0, 0, 3, 12, 69
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF895.3\E.cpp", "C++", 124, 0, 0, 0, 5, 15, 144
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\A.cpp", "C++", 58, 0, 0, 0, 2, 13, 73
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\B.cpp", "C++", 63, 0, 0, 0, 2, 12, 77
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\C.cpp", "C++", 55, 0, 0, 0, 4, 12, 71
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\D.cpp", "C++", 110, 0, 0, 0, 3, 15, 128
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\D_Reverse_Madness.cpp", "C++", 110, 0, 0, 0, 3, 15, 128
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\E.cpp", "C++", 102, 0, 0, 0, 3, 16, 121
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF900.3\F_Vasilije_Loves_Number_Theory.cpp", "C++", 97, 0, 0, 0, 27, 16, 140
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF901.2\A_Jellyfish_and_Undertale.cpp", "C++", 58, 0, 0, 0, 2, 12, 72
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF901.2\B2.cpp", "C++", 73, 0, 0, 0, 7, 0, 80
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF901.2\B_Jellyfish_and_Game.cpp", "C++", 113, 0, 0, 0, 10, 15, 138
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF901.2\C_Jellyfish_and_Green_Apple.cpp", "C++", 79, 0, 0, 0, 2, 17, 98
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF902.2\A_Goals_of_Victory.cpp", "C++", 57, 0, 0, 0, 2, 12, 71
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF902.2\B_Helmets_in_Night_Light.cpp", "C++", 72, 0, 0, 0, 2, 14, 88
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF902.2\C_Joyboard.cpp", "C++", 72, 0, 0, 0, 2, 12, 86
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF902.2\D_Effects_of_Anti_Pimples.cpp", "C++", 46, 0, 0, 0, 2, 13, 61
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF903.3\A_Don_t_Try_to_Count.cpp", "C++", 89, 0, 0, 0, 6, 14, 109
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF903.3\B_Three_Threadlets.cpp", "C++", 70, 0, 0, 0, 2, 13, 85
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF903.3\C_Perfect_Square.cpp", "C++", 78, 0, 0, 0, 2, 15, 95
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF903.3\D_Divide_and_Equalize.cpp", "C++", 136, 0, 0, 0, 11, 17, 164
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF903.3\E_Block_Sequence.cpp", "C++", 52, 0, 0, 0, 2, 13, 67
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF904.2\A_Simple_Design.cpp", "C++", 59, 0, 0, 0, 2, 13, 74
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF904.2\B_Haunted_House.cpp", "C++", 66, 0, 0, 0, 10, 12, 88
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF904.2\C_Medium_Design.cpp", "C++", 109, 0, 0, 0, 6, 12, 127
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF905.3\A_Morning.cpp", "C++", 58, 0, 0, 0, 3, 12, 73
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF905.3\B_Chemistry.cpp", "C++", 62, 0, 0, 0, 2, 12, 76
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF905.3\C_Raspberries.cpp", "C++", 72, 0, 0, 0, 2, 13, 87
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF905.3\D_In_Love.cpp", "C++", 72, 0, 0, 0, 84, 17, 173
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF905.3\E_Look_Back.cpp", "C++", 77, 0, 0, 0, 2, 12, 91
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF905.3\F_You_Are_So_Beautiful.cpp", "C++", 73, 0, 0, 0, 25, 12, 110
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF906.2\A_Doremy_s_Paint_3.cpp", "C++", 62, 0, 0, 0, 4, 12, 78
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF906.2\B_Qingshan_Loves_Strings.cpp", "C++", 95, 0, 0, 0, 3, 16, 114
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF906.2\C_Qingshan_Loves_Strings_2.cpp", "C++", 129, 0, 0, 0, 4, 14, 147
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF908.2\A_Secret_Sport.cpp", "C++", 50, 0, 0, 0, 3, 12, 65
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF908.2\C_Anonymous_Informant.cpp", "C++", 45, 0, 0, 0, 3, 13, 61
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF908.2\Two_Out_of_Three.cpp", "C++", 72, 0, 0, 0, 3, 12, 87
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF909.3\A_Game_with_Integers.cpp", "C++", 17, 0, 0, 0, 1, 7, 25
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF909.3\B_250_Thousand_Tons_of_TNT.cpp", "C++", 50, 0, 0, 0, 3, 8, 61
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF909.3\C_Yarik_and_Array.cpp", "C++", 38, 0, 0, 0, 2, 8, 48
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF909.3\D_Yarik_and_Musical_Notes.cpp", "C++", 43, 0, 0, 0, 0, 6, 49
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF909.3\E_Queue_Sort.cpp", "C++", 50, 0, 0, 0, 0, 6, 56
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF909.3\F_Alex_s_whims.cpp", "C++", 40, 0, 0, 0, 0, 2, 42
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\CF909.3\G_Unusual_Entertainment.cpp", "C++", 61, 0, 0, 0, 3, 12, 76
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\EDU1557\A_Treasure_Chest.cpp", "C++", 51, 0, 0, 0, 3, 12, 66
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\EDU1557\B_Points_and_Minimum_Distance.cpp", "C++", 57, 0, 0, 0, 3, 13, 73
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\EDU1557\C_Torn_Lucky_Ticket.cpp", "C++", 84, 0, 0, 0, 5, 14, 103
"d:\Desktop\Document\Coding\C++\ACM\1_Contests\EDU1557\D_XOR_Construction.cpp", "C++", 135, 0, 0, 0, 4, 15, 154
"d:\Desktop\Document\Coding\C++\ACM\1_Exercise\CF_Number_theory_12_16\1826C.cpp", "C++", 80, 0, 0, 0, 2, 13, 95
"d:\Desktop\Document\Coding\C++\ACM\1_Exercise\CF_Number_theory_12_16\1838C.cpp", "C++", 57, 0, 0, 0, 2, 13, 72
"d:\Desktop\Document\Coding\C++\ACM\1_Exercise\CF_Number_theory_12_16\1844D.cpp", "C++", 91, 0, 0, 0, 3, 15, 109
"d:\Desktop\Document\Coding\C++\ACM\1_Exercise\CF_Number_theory_12_16\1850F.cpp", "C++", 62, 0, 0, 0, 5, 11, 78
"d:\Desktop\Document\Coding\C++\ACM\1_Exercise\Luogu_Graph\P1037.cpp", "C++", 93, 0, 0, 0, 8, 6, 107
"d:\Desktop\Document\Coding\C++\ACM\1_Exercise\Luogu_Graph\P1434.cpp", "C++", 87, 0, 0, 0, 4, 17, 108
"d:\Desktop\Document\Coding\C++\ACM\1_Exercise\Luogu_Graph\P1434_2.cpp", "C++", 79, 0, 0, 0, 19, 6, 104
"d:\Desktop\Document\Coding\C++\ACM\1_Exercise\Luogu_Graph\P3916.cpp", "C++", 62, 0, 0, 0, 6, 12, 80
"d:\Desktop\Document\Coding\C++\ACM\1_Exercise\Luogu_Number_theory\P1082.cpp", "C++", 45, 0, 0, 0, 24, 14, 83
"d:\Desktop\Document\Coding\C++\ACM\1_Exercise\Luogu_Number_theory\P3861.cpp", "C++", 51, 0, 0, 0, 2, 12, 65
"d:\Desktop\Document\Coding\C++\ACM\1_Exercise\Luogu_Number_theory\P4549.cpp", "C++", 57, 0, 0, 0, 3, 13, 73
